iter	Passed	Remaining
656	20121	10504
657	20153	10475
658	20185	10444
659	20219	10416
660	20249	10384
661	20280	10354
662	20318	10327
663	20345	10295
664	20378	10265
665	20410	10236
666	20446	10208
667	20476	10176
668	20506	10146
669	20543	10118
670	20576	10088
671	20606	10057
672	20641	10029
673	20671	9998
674	20698	9966
675	20727	9934
676	20760	9904
677	20791	9874
678	20821	9843
679	20847	9810
680	20875	9778
681	20906	9748
682	20936	9717
683	20960	9683
684	20986	9650
685	21013	9618
686	21038	9585
687	21065	9552
688	21092	9520
689	21120	9488
690	21149	9457
691	21178	9426
692	21201	9392
693	21230	9360
694	21263	9331
695	21294	9300
696	21325	9270
697	21356	9240
698	21387	9209
699	21417	9179
700	21442	9145
701	21465	9112
702	21489	9078
703	21517	9046
704	21548	9016
705	21577	8985
706	21609	8955
707	21640	8925
708	21675	8896
709	21714	8869
710	21752	8841
711	21787	8812
712	21819	8782
713	21854	8754
714	21891	8725
715	21928	8697
716	21961	8668
717	21995	8638
718	22025	8607
719	22060	8579
720	22093	8549
721	22123	8518
722	22156	8488
723	22190	8459
724	22224	8430
725	22257	8400
726	22281	8367
727	22314	8337
728	22342	8305
729	22372	8274
730	22400	8243
731	22425	8210
732	22451	8177
733	22481	8147
734	22511	8116
735	22540	8085
736	22572	8055
737	22602	8024
738	22631	7993
739	22664	7963
740	22690	7930
741	22716	7898
742	22743	7866
743	22767	7833
744	22794	7802
745	22820	7770
746	22847	7738
747	22876	7706
748	22898	7673
749	22926	7642
750	22952	7610
751	22975	7577
752	22998	7543
753	23022	7511
754	23049	7479
755	23075	7447
756	23101	7415
757	23127	7383
758	23150	7350
759	23177	7319
760	23201	7286
761	23229	7255
762	23260	7225
763	23289	7194
764	23315	7162
765	23342	7130
766	23366	7098
767	23389	7065
768	23417	7034
769	23445	7003
770	23475	6972
771	23502	6941
772	23531	6910
773	23559	6879
774	23588	6848
775	23617	6817
776	23646	6786
777	23679	6756
778	23710	6726
779	23748	6698
780	23781	6668
781	23812	6638
782	23851	6610
783	23883	6580
784	23915	6550
785	23953	6521
786	23983	6491
787	24013	6460
788	24048	6431
789	24081	6401
790	24113	6371
791	24148	6341
792	24181	6312
793	24212	6281
794	24245	6252
795	24283	6223
796	24315	6193
797	24346	6162
798	24383	6133
799	24409	6102
800	24433	6070
801	24464	6039
802	24490	6008
803	24521	5977
804	24554	5947
805	24587	5918
806	24619	5887
807	24650	5857
808	24676	5825
809	24702	5794
810	24731	5763
811	24763	5733
812	24792	5702
813	24824	5672
814	24852	5641
815	24884	5611
816	24912	5580
817	24939	5548
818	24967	5517
819	24997	5487
820	25024	5456
821	25051	5424
822	25078	5393
823	25107	5362
824	25135	5331
825	25165	5301
826	25192	5270
827	25219	5238
828	25250	5208
829	25280	5177
830	25314	5148
831	25342	5117
832	25371	5086
833	25400	5055
834	25430	5025
835	25457	4993
836	25483	4962
837	25508	4931
838	25533	4899
839	25559	4868
840	25589	4837
841	25618	4807
842	25647	4776
843	25684	4747
844	25721	4718
845	25755	4688
846	25789	4658
847	25821	4628
848	25856	4598
849	25893	4569
850	25928	4539
851	25960	4509
852	25996	4480
853	26029	4449
854	26058	4419
855	26087	4388
856	26114	4357
857	26141	4326
858	26168	4295
859	26200	4265
860	26233	4235
861	26262	4204
862	26294	4174
863	26329	4144
864	26361	4114
865	26393	4083
866	26430	4054
867	26458	4023
868	26488	3993
869	26519	3962
870	26546	3931
871	26574	3900
872	26608	3870
873	26635	3839
874	26665	3809
875	26688	3777
876	26712	3746
877	26739	3715
878	26766	3684
879	26793	3653
880	26821	3622
881	26850	3592
882	26876	3561
883	26906	3530
884	26936	3500
885	26964	3469
886	26992	3438
887	27019	3407
888	27049	3377
889	27077	3346
890	27105	3315
891	27131	3285
892	27164	3254
893	27193	3224
894	27222	3193
895	27249	3162
896	27278	3132
897	27305	3101
898	27334	3070
899	27363	3040
900	27392	3009
901	27416	2978
902	27440	2947
903	27462	2916
904	27492	2885
905	27521	2855
906	27549	2824
907	27579	2794
908	27603	2763
909	27626	2732
910	27650	2701
911	27677	2670
912	27705	2640
913	27735	2609
914	27766	2579
915	27794	2548
916	27827	2518
917	27862	2488
918	27891	2458
919	27922	2428
920	27954	2397
921	27984	2367
922	28007	2336
923	28037	2306
924	28065	2275
925	28097	2245
926	28129	2215
927	28159	2184
928	28187	2154
929	28214	2123
930	28247	2093
931	28279	2063
932	28307	2032
933	28332	2002
934	28366	1971
935	28396	1941
936	28423	1911
937	28455	1880
938	28490	1850
939	28517	1820
940	28555	1790
941	28589	1760
942	28614	1729
943	28641	1699
944	28664	1668
945	28689	1637
946	28715	1607
947	28745	1576
948	28775	1546
949	28805	1516
950	28834	1485
951	28864	1455
952	28892	1424
953	28918	1394
954	28946	1363
955	28974	1333
956	28998	1302
957	29025	1272
958	29054	1242
959	29084	1211
960	29113	1181
961	29135	1150
962	29159	1120
963	29182	1089
964	29210	1059
965	29241	1029
966	29270	998
967	29293	968
968	29316	937
969	29339	907
970	29361	876
971	29384	846
972	29408	816
973	29435	785
974	29465	755
975	29492	725
976	29526	695
977	29555	664
978	29586	634
